Freq[Hz]     dBSPL  Phase[Deg]
1810.19      1.916    -9.457
1836.52      1.879    -9.524
1863.24      1.842    -9.585
1890.34      1.805    -9.638
1917.83      1.769    -9.685
1945.73      1.733    -9.725
1974.03      1.697    -9.760
2002.74      1.661    -9.788
2031.87      1.626    -9.810
2061.43      1.591    -9.827
2091.41      1.557    -9.838
2121.83      1.523    -9.845
2152.69      1.489    -9.846
2184.01      1.456    -9.842
2215.77      1.424    -9.833
2248.00      1.392    -9.821
2280.70      1.360    -9.803
2313.87      1.329    -9.782
2347.53      1.298    -9.757
2381.68      1.268    -9.728
2416.32      1.238    -9.696
2451.46      1.209    -9.660
2487.12      1.180    -9.621
2523.30      1.152    -9.578
2560.00      1.124    -9.533
2597.24      1.097    -9.485
2635.01      1.070    -9.435
2673.34      1.044    -9.382
2712.23      1.018    -9.326
2751.68      0.993    -9.269
2791.70      0.968    -9.209
2832.31      0.944    -9.148
2873.50      0.920    -9.084
2915.30      0.897    -9.019
2957.70      0.875    -8.952
3000.72      0.852    -8.884
3044.37      0.831    -8.815
3088.65      0.809    -8.744
3133.58      0.788    -8.672
3179.16      0.768    -8.598
3225.40      0.748    -8.524
3272.31      0.729    -8.449
3319.91      0.710    -8.373
3368.20      0.691    -8.297
3417.19      0.673    -8.219
3466.89      0.655    -8.141
3517.32      0.638    -8.063
3568.48      0.621    -7.984
3620.39      0.605    -7.905
3673.05      0.589    -7.825
3726.47      0.573    -7.745
3780.67      0.557    -7.665
3835.67      0.542    -7.585
3891.46      0.528    -7.505
3948.06      0.514    -7.424
4005.49      0.500    -7.344
4063.75      0.486    -7.263
4122.86      0.473    -7.183
4182.82      0.460    -7.103
4243.66      0.448    -7.023
4305.39      0.435    -6.943
4368.01      0.423    -6.863
4431.55      0.412    -6.784
4496.01      0.400    -6.704
4561.40      0.389    -6.626
4627.75      0.379    -6.547
4695.06      0.368    -6.469
4763.35      0.358    -6.391
4832.64      0.348    -6.314
4902.93      0.338    -6.237
4974.24      0.329    -6.160
5046.60      0.320    -6.084
5120.00      0.311    -6.009
5194.47      0.302    -5.934
5270.03      0.293    -5.859
5346.68      0.285    -5.785
5424.45      0.277    -5.712
5503.35      0.269    -5.639
5583.40      0.262    -5.567
5664.61      0.254    -5.495
5747.01      0.247    -5.424
5830.60      0.240    -5.353
5915.41      0.233    -5.283
6001.45      0.226    -5.214
6088.74      0.220    -5.145
6177.30      0.214    -5.077
6267.15      0.208    -5.009
6358.31      0.202    -4.942
6450.80      0.196    -4.876
6544.62      0.190    -4.810
6639.82      0.185    -4.745
6736.40      0.179    -4.681
