Freq[Hz]     dBSPL  Phase[Deg]
7561.35     80.141    -4.189
7671.33     80.137    -4.130
7782.91     80.133    -4.072
7896.12     80.129    -4.015
8010.97     80.125    -3.958
8127.49     80.122    -3.902
8245.71     80.118    -3.846
8365.65     80.115    -3.791
8487.33     80.111    -3.737
8610.78     80.108    -3.683
8736.03     80.105    -3.630
8863.09     80.101    -3.577
8992.01     80.098    -3.525
9122.80     80.095    -3.474
9255.50     80.092    -3.423
9390.12     80.090    -3.373
9526.70     80.087    -3.323
9665.27     80.084    -3.274
9805.86     80.082    -3.226
9948.49     80.079    -3.178
10093.2     80.077    -3.130
10240.0     80.074    -3.084
10388.9     80.072    -3.037
10540.1     80.070    -2.992
10693.4     80.068    -2.946
10848.9     80.066    -2.902
11006.7     80.063    -2.857
11166.8     80.061    -2.814
11329.2     80.060    -2.771
11494.0     80.058    -2.728
11661.2     80.056    -2.686
11830.8     80.054    -2.644
12002.9     80.052    -2.603
12177.5     80.051    -2.562
12354.6     80.049    -2.522
12534.3     80.047    -2.482
12716.6     80.046    -2.443
12901.6     80.044    -2.404
13089.2     80.043    -2.366
13279.6     80.041    -2.328
13472.8     80.040    -2.290
13668.8     80.039    -2.253
13867.6     80.037    -2.216
14069.3     80.036    -2.180
14273.9     80.035    -2.144
14481.5     80.034    -2.109
14692.2     80.033    -2.074
14905.9     80.031    -2.039
15122.7     80.030    -2.005
15342.7     80.029    -1.971
15565.8     80.028    -1.937
15792.2     80.027    -1.904
16021.9     80.026    -1.871
16255.0     80.025    -1.839
16491.4     80.024    -1.807
16731.3     80.023    -1.775
16974.7     80.023    -1.744
17221.6     80.022    -1.713
17472.1     80.021    -1.682
17726.2     80.020    -1.652
17984.0     80.019    -1.621
18245.6     80.019    -1.592
18511.0     80.018    -1.562
18780.2     80.017    -1.533
19053.4     80.016    -1.504
19330.5     80.016    -1.475
19611.7     80.015    -1.447
19897.0     80.015    -1.419
20186.4     80.014    -1.391
20480.0     80.013    -1.364
20777.9     80.013    -1.337
21080.1     80.012    -1.310
21386.7     80.012    -1.283
21697.8     80.011    -1.256
22013.4     80.011    -1.230
22333.6     80.010    -1.204
22658.4     80.010    -1.178
22988.0     80.009    -1.152
23322.4     80.009    -1.127
23661.6     80.008    -1.102
24005.8     80.008    -1.077
24355.0     80.007    -1.052
24709.2     80.007    -1.027
25068.6     80.007    -1.003
25433.2     80.006    -0.978
25803.2     80.006    -0.954
26178.5     80.006    -0.930
26559.3     80.005    -0.906
26945.6     80.005    -0.883
27337.5     80.005    -0.859
27735.2     80.004    -0.836
28138.6     80.004    -0.813
28547.9     80.004    -0.789
28963.1     80.003    -0.766
29384.4     80.003    -0.743
29811.8     80.003    -0.721
30245.4     80.003    -0.698
30685.3     80.002    -0.675
31131.7     80.002    -0.653
31584.5     80.002    -0.630
32043.9     80.002    -0.608
32510.0     80.002    -0.585
32982.8     80.001    -0.563
33462.6     80.001    -0.540
33949.3     80.001    -0.518
34443.1     80.001    -0.496
34944.1     80.001    -0.473
35452.4     80.000    -0.451
35968.0     80.000    -0.429
36491.2     80.000    -0.406
37022.0     80.000    -0.384
37560.5     80.000    -0.362
38106.8     80.000    -0.339
38661.1     80.000    -0.316
39223.4     80.000    -0.294
39793.9     79.999    -0.271
