Freq[Hz]     dBSPL  Phase[Deg]
1336.67     65.544    83.473
1356.11     65.658    76.776
1375.84     65.756    69.892
1395.85     65.817    62.880
1416.15     65.823    55.851
1436.75     65.783    48.993
1457.65     65.734    42.527
1478.85     65.699    36.601
1500.36     65.689    31.119
1522.19     65.735    25.785
1544.33     65.862    20.253
1566.79     66.046    14.253
1589.58     66.229     7.687
1612.70     66.355     0.707
1636.16     66.389    -6.391
1659.95     66.338   -13.296
1684.10     66.225   -19.826
1708.60     66.086   -25.901
1733.45     65.964   -31.614
1758.66     65.886   -37.138
1784.24     65.851   -42.603
1810.19     65.833   -48.060
1836.52     65.800   -53.522
1863.24     65.745   -58.912
1890.34     65.685   -64.192
1917.83     65.650   -69.362
1945.73     65.653   -74.500
1974.03     65.681   -79.671
2002.74     65.707   -84.995
2031.87     65.722   -90.450
2061.43     65.734   -95.995
2091.41     65.743  -101.596
2121.83     65.729  -107.144
2152.69     65.677  -112.523
2184.01     65.609  -117.719
2215.77     65.587  -122.838
2248.00     65.649  -128.030
2280.70     65.750  -133.395
2313.87     65.796  -138.886
2347.53     65.745  -144.288
2381.68     65.662  -149.473
2416.32     65.664  -154.479
2451.46     65.771  -159.536
2487.12     65.890  -164.741
2523.30     65.958  -170.246
2560.00     66.005  -176.044
2597.24     66.070   177.948
2635.01     66.122   171.857
2673.34     66.117   165.692
2712.23     66.078   159.485
2751.68     66.068   153.248
2791.70     66.100   146.965
2832.31     66.133   140.559
2873.50     66.142   134.009
2915.30     66.132   127.462
2957.70     66.114   120.999
3000.72     66.122   114.465
3044.37     66.168   107.786
3088.65     66.191   101.068
3133.58     66.131    94.362
3179.16     66.024    87.688
3225.40     65.933    81.173
3272.31     65.864    74.815
3319.91     65.805    68.337
3368.20     65.759    61.719
3417.19     65.688    55.262
3466.89     65.581    48.864
3517.32     65.556    42.262
3568.48     65.687    35.411
3620.39     65.826    28.488
3673.05     65.836    21.224
3726.47     65.814    13.613
3780.67     65.856     5.962
3835.67     65.876    -1.544
3891.46     65.810    -9.127
3948.06     65.718   -16.678
4005.49     65.660   -24.050
4063.75     65.640   -31.279
4122.86     65.633   -38.395
4182.82     65.664   -45.641
4243.66     65.805   -53.287
4305.39     66.027   -61.404
4368.01     66.197   -69.959
4431.55     66.231   -78.957
4496.01     66.189   -88.120
4561.40     66.123   -97.043
4627.75     65.988  -105.620
4695.06     65.852  -114.199
4763.35     65.838  -122.860
4832.64     65.909  -131.628
4902.93     65.943  -140.648
4974.24     65.896  -149.839
5046.60     65.825  -159.117
5120.00     65.797  -168.333
5194.47     65.769  -177.297
5270.03     65.705   173.727
5346.68     65.692   164.522
5424.45     65.766   155.223
5503.35     65.840   145.706
5583.40     65.883   135.602
5664.61     65.890   125.465
5747.01     65.807   115.607
5830.60     65.721   105.553
5915.41     65.798    95.371
6001.45     65.916    85.243
6088.74     65.970    74.450
6177.30     66.058    63.183
6267.15     66.141    51.821
6358.31     66.175    39.971
6450.80     66.173    27.949
6544.62     66.112    15.722
6639.82     66.025     3.480
6736.40     65.858    -8.392
6834.38     65.644   -20.053
6933.79     65.492   -31.338
7034.64     65.390   -42.276
7136.96     65.389   -53.440
7240.77     65.509   -64.956
7346.09     65.666   -76.961
7452.94     65.762   -89.418
7561.35     65.741  -101.986
7671.33     65.651  -114.405
7782.91     65.589  -126.663
7896.12     65.660  -138.961
8010.97     65.903  -151.821
8127.49     66.232  -165.523
8245.71     66.556   179.155
8365.65     66.784   162.958
8487.33     66.718   146.754
8610.78     66.347   131.252
8736.03     66.027   116.116
8863.09     66.008   101.577
8992.01     66.091    87.271
9122.80     66.130    72.141
9255.50     66.274    55.945
9390.12     66.448    39.278
9526.70     66.435    22.321
9665.27     66.244     5.096
9805.86     66.024   -12.189
9948.49     65.875   -28.882
10093.2     65.662   -45.153
10240.0     65.449   -61.838
10388.9     65.398   -78.384
10540.1     65.329   -94.665
10693.4     65.200  -111.237
10848.9     65.208  -128.415
